選舉年度,選舉別,選舉類別,屆任次,投票日期,地區別,人口數,選舉人數,候選人數,當選人數,投票數合計,有效票數,無效票數,選舉人數對人口數_pct,投票率_pct,當選對候選_pct
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,宜蘭縣,465828,314541,31,12,209170,204436,4734,67.52,66.5,38.71
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,桃園縣,1595481,1034243,39,13,563148,547139,16009,64.82,54.45,33.33
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,新竹縣,418264,278052,35,13,192222,187047,5175,66.48,69.13,37.14
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,苗栗縣,558936,378337,48,18,254411,247254,7157,67.69,67.24,37.5
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,臺中縣,1438396,927456,65,21,625325,604815,20510,64.48,67.42,32.31
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,彰化縣,1292791,857455,69,26,652513,628004,24509,66.33,76.1,37.68
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,南投縣,545557,373237,39,13,255813,244611,11202,68.41,68.54,33.33
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,雲林縣,751537,524496,45,20,398814,387653,11161,69.79,76.04,44.44
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,嘉義縣,566725,401418,44,18,296464,287320,9144,70.83,73.85,40.91
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,臺南縣,1092344,755552,88,31,531368,517393,13975,69.17,70.33,35.23
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,高雄縣,1217661,834697,67,27,606235,587729,18506,68.55,72.63,40.3
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,屏東縣,912445,629047,83,33,452862,444507,8355,68.94,71.99,39.76
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,臺東縣,252911,175688,37,16,111908,107649,4259,69.47,63.7,43.24
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,花蓮縣,357972,245324,31,13,146840,139340,7500,68.53,59.86,41.94
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,澎湖縣,89731,64234,10,6,47624,45450,2174,71.59,74.14,60
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,福建省,55581,39156,22,10,31359,30401,958,70.45,80.09,45.45
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,金門縣,48700,33010,15,6,26671,25897,774,67.78,80.8,40
1998,第 13 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,13,1998-01-24,連江縣,6881,6146,7,4,4688,4504,184,89.32,76.28,57.14
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,總計,15470416,10899572,881,319,6220298,6072262,148036,70.45,57.07,36.21
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,台灣省,15405885,10852841,851,309,6189115,6042425,146690,70.45,57.03,36.31
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,臺北縣,3593315,2527329,90,29,1094594,1077075,17519,70.33,43.31,32.22
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,宜蘭縣第十二選區,465825,328118,33,12,203120,199704,3416,70.44,61.9,36.36
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,桃園縣第十三選區,1750731,1184648,45,13,590094,577356,12738,67.67,49.81,28.89
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,新竹縣第十三選區,443316,304025,29,13,188969,182951,6018,68.58,62.16,44.83
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,苗栗縣第十三選區,559579,395592,51,18,255640,249731,5909,70.69,64.62,35.29
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,臺中縣第十三選區,1498170,1019199,70,21,595436,582460,12976,68.03,58.42,30
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,彰化縣第十三選區,1311923,915274,75,26,591754,573876,17878,69.77,64.65,34.67
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,南投縣第十三選區,541242,386620,42,13,257643,251742,5901,71.43,66.64,30.95
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,雲林縣第十三選區,742219,541243,57,20,368707,356513,12194,72.92,68.12,35.09
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,嘉義縣第十三選區,562978,413038,39,18,270805,263655,7150,73.37,65.56,46.15
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,臺南縣第十三選區,1106619,800059,80,31,491669,476864,14805,72.3,61.45,38.75
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,高雄縣第十三選區,1235089,887213,72,27,544226,532340,11886,71.83,61.34,37.5
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,屏東縣第十三選區,906799,654213,88,33,449066,440100,8966,72.15,68.64,37.5
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,臺東縣第十六選區,244219,176363,32,16,104907,102043,2864,72.22,59.48,50
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,花蓮縣第十三選區,352809,252596,34,13,134335,131589,2746,71.6,53.18,38.24
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,澎湖縣第十三選區,91052,67311,14,6,48150,44426,3724,73.93,71.53,42.86
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,福建省,64531,46731,30,10,31183,29837,1346,72.42,66.73,33.33
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,金門縣第十三選區,56215,40180,22,6,26996,25818,1178,71.48,67.19,27.27
2002,第 14 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,14,2002-01-26,連江縣第十三選區,8316,6551,8,4,4187,4019,168,78.78,63.91,50
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,總計,15767764,11542509,788,319,7737553,7483533,254020,73.2,67.04,40.48
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,台灣省,15688972,11482512,765,309,7700034,7447913,252121,73.19,67.06,40.39
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,臺北縣,3726039,2735757,73,29,1817965,1775404,42561,73.42,66.45,39.73
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,宜蘭縣,461505,338223,30,12,237942,229985,7957,73.29,70.35,40
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,桃園縣,1871474,1310968,34,13,811483,787845,23638,70.05,61.9,38.24
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,新竹縣,474265,334715,32,13,238351,229717,8634,70.58,71.21,40.62
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,苗栗縣,559558,410214,46,18,285107,274559,10548,73.31,69.5,39.13
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,臺中縣,1530298,1089195,56,21,717357,684796,32561,71.18,65.86,37.5
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,彰化縣,1315020,958136,69,26,682374,658603,23771,72.86,71.22,37.68
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,南投縣,537345,398128,36,13,280747,271091,9656,74.09,70.52,36.11
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,雲林縣,734052,552383,48,20,385270,366006,19264,75.25,69.75,41.67
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,嘉義縣,556365,421687,34,18,302295,289586,12709,75.79,71.69,52.94
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,臺南縣,1105050,831861,73,31,542836,523979,18857,75.28,65.26,42.47
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,高雄縣,1240203,925495,66,27,606854,588998,17856,74.62,65.57,40.91
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,屏東縣,898611,670396,92,33,474360,460292,14068,74.6,70.76,35.87
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,臺東縣,239184,178194,35,16,107933,104434,3499,74.5,60.57,45.71
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,花蓮縣,347641,256904,27,13,158461,153470,4991,73.9,61.68,48.15
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,澎湖縣,92362,70256,14,6,50699,49148,1551,76.07,72.16,42.86
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,福建省,78792,59997,23,10,37519,35620,1899,76.15,62.53,43.48
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,金門縣,68265,51852,11,6,32565,30752,1813,75.96,62.8,54.55
2005,第 15 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,15,2005-12-03,連江縣,10527,8145,12,4,4954,4868,86,77.37,60.82,33.33
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,總計,8273727,6229428,470,211,3993620,3820810,172810,75.29,64.11,44.89
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,台灣省,8171235,6149487,446,201,3949166,3777792,171374,75.26,64.22,45.07
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,宜蘭縣,461345,350082,27,12,247682,241883,5799,75.88,70.75,44.44
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,桃園縣,1974758,1429538,27,13,769991,736857,33134,72.39,53.86,48.15
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,新竹縣,509453,368336,28,13,256162,243220,12942,72.3,69.55,46.43
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,苗栗縣,561315,424874,51,18,290394,283726,6668,75.69,68.35,35.29
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,彰化縣,1311971,989266,61,26,649097,618827,30270,75.4,65.61,42.62
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,南投縣,530769,407350,27,13,276075,258142,17933,76.75,67.77,48.15
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,雲林縣,722831,559157,42,20,361491,344877,16614,77.36,64.65,47.62
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,嘉義縣,547267,428076,39,18,322402,306405,15997,78.22,75.31,46.15
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,屏東縣,882575,680401,71,33,463705,448834,14871,77.09,68.15,46.48
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,臺東縣,232290,177750,34,16,110031,103679,6352,76.52,61.9,47.06
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,花蓮縣,340910,259799,30,13,154711,147501,7210,76.21,59.55,43.33
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,澎湖縣,95751,74858,9,6,47425,43841,3584,78.18,63.35,66.67
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,福建省,102492,79941,24,10,44454,43018,1436,78,55.61,41.67
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,金門縣,92602,72255,17,6,38903,38047,856,78.03,53.84,35.29
2009,第 16 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,16,2009-12-05,連江縣,9890,7686,7,4,5551,4971,580,77.71,72.22,57.14
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,總計,6249738,4955692,470,198,3534279,3385651,148628,79.29,71.32,42.13
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,台灣省,6110664,4842507,452,188,3480925,3336000,144925,79.25,71.88,41.59
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,宜蘭縣,458799,363298,27,12,256550,246181,10369,79.18,70.62,44.44
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,新竹縣,536539,402076,29,13,276803,256707,20096,74.94,68.84,44.83
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,苗栗縣,567044,445123,37,18,324344,309544,14800,78.5,72.87,48.65
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,彰化縣,1292098,1013533,67,26,739683,716176,23507,78.44,72.98,38.81
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,南投縣,514894,413519,27,13,302404,290715,11689,80.31,73.13,48.15
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,雲林縣,706634,564643,50,20,418567,402326,16241,79.91,74.13,40
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,嘉義縣,525775,430059,36,18,319202,301308,17894,81.8,74.22,50
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,屏東縣,849113,685402,91,33,504354,486248,18106,80.72,73.59,36.26
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,臺東縣,224807,178670,40,16,121241,117106,4135,79.48,67.86,40
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,花蓮縣,333413,264058,32,13,163325,157363,5962,79.2,61.85,40.62
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,澎湖縣,101548,82126,16,6,54452,52326,2126,80.87,66.3,37.5
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,福建省,139074,113185,18,10,53354,49651,3703,81.38,47.14,55.56
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,金門縣,126562,103152,10,6,46627,43135,3492,81.5,45.2,60
2014,第 17 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,17,2014-11-29,連江縣,12512,10033,8,4,6727,6516,211,80.19,67.05,50
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,總計,6163586,5028488,523,198,3498432,3325596,172836,81.58,69.57,37.86
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,台灣省,6011679,4900154,498,188,3440442,3270389,170053,81.51,70.21,37.75
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,宜蘭縣,455508,372203,32,12,257416,247966,9450,81.71,69.16,37.5
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,新竹縣,556307,426633,37,13,290134,274697,15437,76.69,68.01,35.14
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,苗栗縣,549798,445651,44,18,315460,302360,13100,81.06,70.79,40.91
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,彰化縣,1278437,1028928,82,26,729822,702965,26857,80.48,70.93,31.71
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,南投縣,497876,412718,38,13,300373,291154,9219,82.9,72.78,34.21
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,雲林縣,687195,564228,54,20,403977,372052,31925,82.11,71.6,37.04
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,嘉義縣,507780,428217,35,18,303022,275369,27653,84.33,70.76,51.43
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,屏東縣,826779,688100,89,33,489528,466853,22675,83.23,71.14,37.08
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,臺東縣,219268,179387,43,16,122507,117330,5177,81.81,68.29,37.21
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,花蓮縣,328331,267642,32,13,173812,167896,5916,81.52,64.94,40.62
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,澎湖縣,104400,86447,12,6,54391,51747,2644,82.8,62.92,50
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,福建省,151907,128334,25,10,57990,55207,2783,84.48,45.19,40
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,金門縣,138845,117568,20,6,50313,48525,1788,84.68,42.79,30
2018,第 18 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,18,2018-11-24,連江縣,13062,10766,5,4,7677,6682,995,82.42,71.31,80
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,總計,6034299,5024802,489,198,3245510,3109582,135928,83.27,64.59,40.49
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,台灣省,5879385,4890991,470,188,3188902,3055618,133284,83.19,65.2,40
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,宜蘭縣,449012,373143,31,12,240196,229859,10337,83.1,64.37,38.71
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,新竹縣,578949,451610,36,13,266694,257729,8965,78.01,59.05,36.11
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,苗栗縣,535149,442986,34,18,297824,279605,18219,82.78,67.23,52.94
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,彰化縣,1245445,1026313,65,26,666670,636340,30330,82.41,64.96,40
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,南投縣,479889,405712,32,13,280336,271130,9206,84.54,69.1,40.62
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,雲林縣,664604,558495,54,20,376360,361312,15048,84.03,67.39,37.04
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,嘉義縣,488920,422148,37,18,284336,269664,14672,86.34,67.35,48.65
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,屏東縣,798965,677933,94,33,455845,441808,14037,84.85,67.24,35.11
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,臺東縣,212712,177573,40,16,115089,111303,3786,83.48,64.81,40
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,花蓮縣,318849,264897,32,13,152769,146166,6603,83.08,57.67,40.62
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,澎湖縣,106891,90181,15,6,52783,50702,2081,84.37,58.53,40
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,福建省,154914,133811,19,10,56608,53964,2644,86.38,42.3,52.63
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,金門縣,140938,122012,11,6,47995,45625,2370,86.57,39.34,54.55
2022,第19 屆 鄉鎮(縣轄市)長選舉,鄉鎮(縣轄市)長選舉,19,2022-11-26,連江縣,13976,11799,8,4,8613,8339,274,84.42,73,50
