選舉年度,選舉別,選舉類別,屆任次,投票日期,地區別,人口數,選舉人數,候選人數,當選人數,投票數合計,有效票數,無效票數,選舉人數對人口數_pct,投票率_pct,當選對候選_pct
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,雲林縣,687195,564688,75,43,404248,390180,14068,82.17,71.59,57.33
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,嘉義縣,507780,428415,59,37,303243,291595,11648,84.37,70.78,62.71
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,屏東縣,826779,688694,99,55,489815,473531,16284,83.3,71.12,55.56
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,臺東縣,219268,179489,67,30,122668,118889,3779,81.86,68.34,44.78
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,花蓮縣,328331,268161,69,33,174087,168365,5722,81.67,64.92,47.83
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,澎湖縣,104400,86497,38,19,54418,52748,1670,82.85,62.91,50
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,基隆市,370269,308433,60,31,192811,187583,5228,83.3,62.51,51.67
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,新竹市,444775,337136,72,34,220751,214526,6225,75.8,65.48,47.22
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,嘉義市,268741,212528,43,23,144325,140332,3993,79.08,67.91,53.49
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,福建省,151907,128534,48,28,58069,55686,2383,84.61,45.18,58.33
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,金門縣,138845,117763,35,19,50385,48197,2188,84.82,42.79,54.29
2018,第 19 屆 縣(市)議員選舉,縣(市)議員選舉,19,2018-11-24,連江縣,13062,10771,13,9,7684,7489,195,82.46,71.34,69.23
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,總計,7109207,5899546,937,533,3768911,3654155,114756,82.98,63.88,56.88
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,台灣省,6954293,5765548,890,505,3712235,3598816,113419,82.91,64.39,56.74
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,宜蘭縣,449012,373619,58,34,240442,230838,9604,83.21,64.35,58.62
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,新竹縣,578949,451910,73,37,266781,256859,9922,78.06,59.03,50.68
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,苗栗縣,535149,443426,72,38,298113,289108,9005,82.86,67.23,52.78
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,彰化縣,1245445,1027448,86,54,667182,646468,20714,82.5,64.94,62.79
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,南投縣,479889,405941,68,37,280528,273431,7097,84.59,69.11,54.41
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,雲林縣,664604,558880,69,43,376566,365299,11267,84.09,67.38,62.32
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,嘉義縣,488920,422336,57,37,284429,274815,9614,86.38,67.35,64.91
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,屏東縣,798965,678576,101,55,456105,443347,12758,84.93,67.22,54.46
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,臺東縣,212712,177676,61,30,115164,110575,4589,83.53,64.82,49.18
2022,第 20 屆 縣(市)議員選舉,縣(市)議員選舉,20,2022-11-26,花蓮縣,318849,265408,58,33,152914,147707,5207,83.24,57.61,56.9
