選舉年度,選舉別,選舉概況表_url,候選人得票明細_url,候選人資歷統計_pdf,當選人資歷統計_pdf,政黨得票統計_pdf,政黨候選人數與當選席次_pdf
2022,第 04 屆 直轄市高雄市議員選舉,,,https://vote.nccu.edu.tw/cec/E2022643.PDF,https://vote.nccu.edu.tw/cec/E2022644.PDF,https://vote.nccu.edu.tw/cec/E2022645.PDF,https://vote.nccu.edu.tw/cec/E2022646.PDF
2022,第 04屆 直轄市新北市議員選舉,,,https://vote.nccu.edu.tw/cec/E2022653.PDF,https://vote.nccu.edu.tw/cec/E2022654.PDF,https://vote.nccu.edu.tw/cec/E2022655.PDF,https://vote.nccu.edu.tw/cec/E2022656.PDF
2022,第 04 屆 直轄市台中市議員選舉,,,https://vote.nccu.edu.tw/cec/E2022663.PDF,https://vote.nccu.edu.tw/cec/E2022664.PDF,https://vote.nccu.edu.tw/cec/E2022665.PDF,https://vote.nccu.edu.tw/cec/E2022666.PDF
2022,第 04 屆 直轄市台南市議員選舉,,,https://vote.nccu.edu.tw/cec/E2022673.PDF,https://vote.nccu.edu.tw/cec/E2022674.PDF,https://vote.nccu.edu.tw/cec/E2022675.PDF,https://vote.nccu.edu.tw/cec/E2022676.PDF
2022,第 03 屆 直轄市桃園市議員選舉,,,https://vote.nccu.edu.tw/cec/E2022683.PDF,https://vote.nccu.edu.tw/cec/E2022684.PDF,https://vote.nccu.edu.tw/cec/E2022685.PDF,https://vote.nccu.edu.tw/cec/E2022686.PDF
1993,第 12 屆 縣(市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=N9AA;I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=N9AA;I8888888888iii((,https://vote.nccu.edu.tw/cec/F1993003.PDF,https://vote.nccu.edu.tw/cec/F1993004.PDF,https://vote.nccu.edu.tw/cec/F1993005.PDF,https://vote.nccu.edu.tw/cec/F1993006.PDF
1997,第 13 屆 縣(市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=N9AA?I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=N9AA?I8888888888iii((,https://vote.nccu.edu.tw/cec/F1997003.PDF,https://vote.nccu.edu.tw/cec/F1997004.PDF,https://vote.nccu.edu.tw/cec/F1997005.PDF,https://vote.nccu.edu.tw/cec/F1997006.PDF
2001,第 14 屆 縣(市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=N:889I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=N:889I8888888888iii((,https://vote.nccu.edu.tw/cec/F2001003.PDF,https://vote.nccu.edu.tw/cec/F2001004.PDF,https://vote.nccu.edu.tw/cec/F2001005.PDF,https://vote.nccu.edu.tw/cec/F2001006.PDF
2005,第 15 屆 縣(市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=N:88=I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=N:88=I8888888888iii((,https://vote.nccu.edu.tw/cec/F2005003.PDF,https://vote.nccu.edu.tw/cec/F2005004.PDF,https://vote.nccu.edu.tw/cec/F2005005.PDF,https://vote.nccu.edu.tw/cec/F2005006.PDF
2009,第 16 屆 縣(市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=N:88AI8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=N:88AI8888888888iii((,https://vote.nccu.edu.tw/cec/F2009003.PDF,https://vote.nccu.edu.tw/cec/F2009004.PDF,https://vote.nccu.edu.tw/cec/F2009005.PDF,https://vote.nccu.edu.tw/cec/F2009006.PDF
2014,第 17 屆 縣(市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=N:89<I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=N:89<I8888888888iii((,https://vote.nccu.edu.tw/cec/F2014003.PDF,https://vote.nccu.edu.tw/cec/F2014004.PDF,https://vote.nccu.edu.tw/cec/F2014005.PDF,https://vote.nccu.edu.tw/cec/F2014006.PDF
2018,第 18 屆 縣(市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=N:89@I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=N:89@I8888888888iii((,https://vote.nccu.edu.tw/cec/F2018003.PDF,https://vote.nccu.edu.tw/cec/F2018004.PDF,https://vote.nccu.edu.tw/cec/F2018005.PDF,https://vote.nccu.edu.tw/cec/F2018006.PDF
2022,第 19 屆 縣(市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=N:8::I8888888888iii((,https://vote.nccu.edu.tw/cec/vote3.asp?pass1=N:8::I8888888888iii((,https://vote.nccu.edu.tw/cec/F2022003.PDF,https://vote.nccu.edu.tw/cec/F2022004.PDF,https://vote.nccu.edu.tw/cec/F2022005.PDF,https://vote.nccu.edu.tw/cec/F2022006.PDF
1998,第 14 屆 縣(市)議員選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=O9AA@88888888888iii((,,https://vote.nccu.edu.tw/cec/G1998003.PDF,https://vote.nccu.edu.tw/cec/G1998004.PDF,https://vote.nccu.edu.tw/cec/G1998005.PDF,https://vote.nccu.edu.tw/cec/G1998006.PDF
2002,第 15 屆 縣(市)議員選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=O:88:88888888888iii((,,https://vote.nccu.edu.tw/cec/G2002003.PDF,https://vote.nccu.edu.tw/cec/G2002004.PDF,https://vote.nccu.edu.tw/cec/G2002005.PDF,https://vote.nccu.edu.tw/cec/G2002006.PDF
2005,第 16 屆 縣(市)議員選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=O:88=88888888888iii((,,https://vote.nccu.edu.tw/cec/G2005003.PDF,https://vote.nccu.edu.tw/cec/G2005004.PDF,https://vote.nccu.edu.tw/cec/G2005005.PDF,https://vote.nccu.edu.tw/cec/G2005006.PDF
2009,第 17 屆 縣(市)議員選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=O:88A88888888888iii((,,https://vote.nccu.edu.tw/cec/G2009003.PDF,https://vote.nccu.edu.tw/cec/G2009004.PDF,https://vote.nccu.edu.tw/cec/G2009005.PDF,https://vote.nccu.edu.tw/cec/G2009006.PDF
2014,第 18 屆 縣(市)議員選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=O:89<88888888888iii((,,https://vote.nccu.edu.tw/cec/G2014003.PDF,https://vote.nccu.edu.tw/cec/G2014004.PDF,https://vote.nccu.edu.tw/cec/G2014005.PDF,https://vote.nccu.edu.tw/cec/G2014006.PDF
2018,第 19 屆 縣(市)議員選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=O:89@88888888888iii((,,https://vote.nccu.edu.tw/cec/G2018003.PDF,https://vote.nccu.edu.tw/cec/G2018004.PDF,https://vote.nccu.edu.tw/cec/G2018005.PDF,https://vote.nccu.edu.tw/cec/G2018006.PDF
2022,第 20 屆 縣(市)議員選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=O:8::88888888888iii((,,https://vote.nccu.edu.tw/cec/G2022003.PDF,https://vote.nccu.edu.tw/cec/G2022004.PDF,https://vote.nccu.edu.tw/cec/G2022005.PDF,https://vote.nccu.edu.tw/cec/G2022006.PDF
1998,第 13 屆 鄉鎮(縣轄市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=P9AA@88888888888iii((,,https://vote.nccu.edu.tw/cec/H1998003.PDF,https://vote.nccu.edu.tw/cec/H1998004.PDF,https://vote.nccu.edu.tw/cec/H1998005.PDF,https://vote.nccu.edu.tw/cec/H1998006.PDF
2002,第 14 屆 鄉鎮(縣轄市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=P:88:88888888888iii((,,https://vote.nccu.edu.tw/cec/H2002003.PDF,https://vote.nccu.edu.tw/cec/H2002004.PDF,https://vote.nccu.edu.tw/cec/H2002005.PDF,https://vote.nccu.edu.tw/cec/H2002006.PDF
2005,第 15 屆 鄉鎮(縣轄市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=P:88=88888888888iii((,,https://vote.nccu.edu.tw/cec/H2005003.PDF,https://vote.nccu.edu.tw/cec/H2005004.PDF,https://vote.nccu.edu.tw/cec/H2005005.PDF,https://vote.nccu.edu.tw/cec/H2005006.PDF
2009,第 16 屆 鄉鎮(縣轄市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=P:88A88888888888iii((,,https://vote.nccu.edu.tw/cec/H2009003.PDF,https://vote.nccu.edu.tw/cec/H2009004.PDF,https://vote.nccu.edu.tw/cec/H2009005.PDF,https://vote.nccu.edu.tw/cec/H2009006.PDF
2014,第 17 屆 鄉鎮(縣轄市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=P:89<88888888888iii((,,https://vote.nccu.edu.tw/cec/H2014003.PDF,https://vote.nccu.edu.tw/cec/H2014004.PDF,https://vote.nccu.edu.tw/cec/H2014005.PDF,https://vote.nccu.edu.tw/cec/H2014006.PDF
2018,第 18 屆 鄉鎮(縣轄市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=P:89@88888888888iii((,,https://vote.nccu.edu.tw/cec/H2018003.PDF,https://vote.nccu.edu.tw/cec/H2018004.PDF,https://vote.nccu.edu.tw/cec/H2018005.PDF,https://vote.nccu.edu.tw/cec/H2018006.PDF
2022,第19 屆 鄉鎮(縣轄市)長選舉,https://vote.nccu.edu.tw/cec/vote421.asp?pass1=P:8::88888888888iii((,,https://vote.nccu.edu.tw/cec/H2022003.PDF,https://vote.nccu.edu.tw/cec/H2022004.PDF,https://vote.nccu.edu.tw/cec/H2022005.PDF,https://vote.nccu.edu.tw/cec/H2022006.PDF
