選舉年度,選舉別,選舉類別,屆任次,投票日期,地區,號次,姓名,性別,出生年次,推薦政黨,得票數,得票率,當選否,是否現任,副手姓名,副手性別,副手出生年次
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,金門縣,02,洪志,M,1968,金門高粱黨,832,1.69,N,N,,,
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,金門縣,03,汪承樺,F,1960,教科文預算保障e聯盟,403,0.81,N,N,,,
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,金門縣,04,陳福海,M,1963,無黨籍及未經政黨推薦,22719,46.14,N,Y,,,
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,金門縣,05,謝宜璋,M,1967,無黨籍及未經政黨推薦,1389,2.82,N,N,,,
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,金門縣,06,洪和成,M,1961,無黨籍及未經政黨推薦,366,0.74,N,N,,,
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,連江縣,01,蘇柏豪,M,1986,樹黨,927,12.51,N,N,,,
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,連江縣,02,朱秀珍,F,1966,無黨籍及未經政黨推薦,1284,17.33,N,N,,,
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,連江縣,03,魏耀乾,M,1950,無黨籍及未經政黨推薦,336,4.53,N,N,,,
2018,第 18 屆 縣(市)長選舉,縣(市)長選舉,18,2018-11-24,連江縣,04,劉增應,M,1958,中國國民黨,4861,65.61,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,宜蘭縣,01,林姿妙,F,1952,中國國民黨,119421,50.76,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,宜蘭縣,02,朱振東,M,1953,天一黨,919,0.39,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,宜蘭縣,03,許鋐哲,M,1949,無黨籍及未經政黨推薦,1036,0.44,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,宜蘭縣,04,陳秋境,M,1963,無黨籍及未經政黨推薦,714,0.3,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,宜蘭縣,05,江X淵,M,1969,民主進步黨,96779,41.13,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,宜蘭縣,06,陳琬惠,F,1974,台灣民眾黨,16412,6.98,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹縣,01,黃秀龍,M,1960,無黨籍及未經政黨推薦,3403,1.32,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹縣,02,范振揆,M,1971,無黨籍及未經政黨推薦,4874,1.89,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹縣,03,周江杰,M,1980,民主進步黨,83683,32.4,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹縣,04,楊文科,M,1951,中國國民黨,163662,63.36,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹縣,05,劉復嵐,M,1974,無黨籍及未經政黨推薦,2683,1.04,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,苗栗縣,01,鍾東錦,M,1963,無黨籍及未經政黨推薦,124603,42.66,Y,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,苗栗縣,02,謝福弘,M,1956,中國國民黨,32026,10.96,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,苗栗縣,03,吳盛聖,M,1979,無黨籍及未經政黨推薦,4864,1.67,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,苗栗縣,04,徐定禎,M,1961,民主進步黨,91260,31.24,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,苗栗縣,05,宋國鼎,M,1981,時代力量,39347,13.47,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,彰化縣,01,王惠美,F,1968,中國國民黨,369133,56.75,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,彰化縣,02,黃秀芳,F,1971,民主進步黨,272817,41.94,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,彰化縣,03,蕭仁正,M,1953,無黨籍及未經政黨推薦,8474,1.3,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,南投縣,01,蔡培慧,F,1971,民主進步黨,117993,42.83,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,南投縣,02,許淑華,F,1975,中國國民黨,154256,55.99,Y,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,南投縣,03,王永慶,M,1962,無黨籍及未經政黨推薦,3250,1.18,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,雲林縣,01,張麗善,F,1964,中國國民黨,207519,56.57,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,雲林縣,02,劉建國,M,1969,民主進步黨,152620,41.6,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,雲林縣,03,林佳瑜,M,1959,無黨籍及未經政黨推薦,6694,1.82,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,嘉義縣,01,王育敏,F,1971,中國國民黨,101517,37.15,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,嘉義縣,02,翁章梁,M,1965,民主進步黨,171777,62.85,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,屏東縣,01,詹智鈞,M,1976,時代力量,19156,4.32,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,屏東縣,02,蘇清泉,M,1957,中國國民黨,206460,46.59,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,屏東縣,03,周春米,F,1966,民主進步黨,217537,49.09,Y,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,臺東縣,01,陳長宏,M,1965,無黨籍及未經政黨推薦,2383,2.12,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,臺東縣,02,饒慶鈴,F,1969,中國國民黨,68661,61.22,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,臺東縣,03,劉櫂豪,M,1967,民主進步黨,41104,36.65,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,花蓮縣,01,徐榛蔚,F,1968,中國國民黨,96645,64.73,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,花蓮縣,02,?師鵬,M,1957,無黨籍及未經政黨推薦,4817,3.23,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,花蓮縣,03,谷辣斯．尤達卡 Kolas Yotaka,F,1974,民主進步黨,47845,32.04,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,澎湖縣,01,陳光復,M,1955,民主進步黨,18777,36.64,Y,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,澎湖縣,02,賴峰偉,M,1953,中國國民黨,17081,33.33,N,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,澎湖縣,03,葉竹林,M,1962,無黨籍及未經政黨推薦,15384,30.02,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,基隆市,01,謝國樑,M,1975,中國國民黨,96784,52.92,Y,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,基隆市,02,陳薇仲,F,1990,時代力量,12000,6.56,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,基隆市,03,蔡適應,M,1973,民主進步黨,71354,39.01,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,基隆市,04,曾國民,M,1962,無黨籍及未經政黨推薦,619,0.34,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,基隆市,05,黃希賢,M,1965,無黨籍及未經政黨推薦,2136,1.17,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹市,01,黃源甫,M,1954,無黨籍及未經政黨推薦,1049,0.48,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹市,02,龔偉綸,M,1982,無黨籍及未經政黨推薦,508,0.23,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹市,03,林耕仁,M,1960,中國國民黨,39391,18.07,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹市,04,李驥?,M,1956,無黨籍及未經政黨推薦,1108,0.51,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹市,05,沈慧虹,F,1967,民主進步黨,77764,35.68,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,新竹市,06,高虹安,F,1984,台灣民眾黨,98121,45.02,Y,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,嘉義市,01,黃敏惠,F,1959,中國國民黨,59874,63.82,Y,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,嘉義市,02,李俊俋,M,1965,民主進步黨,32790,34.95,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,嘉義市,03,陳泰山,M,1949,無黨籍及未經政黨推薦,246,0.26,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,嘉義市,04,黃宏成台灣阿成世界偉人財神總統,M,1968,無黨籍及未經政黨推薦,535,0.57,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,嘉義市,05,鄭凱升,M,1978,無黨籍及未經政黨推薦,368,0.39,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,金門縣,01,李應文,M,1979,無黨籍及未經政黨推薦,3459,7.34,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,金門縣,02,朱紀瑋,M,1961,龍黨,174,0.37,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,金門縣,03,林志錦,M,1972,無黨籍及未經政黨推薦,141,0.3,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,金門縣,04,楊鎮浯,M,1972,中國國民黨,19340,41.05,N,Y,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,金門縣,05,陳福海,M,1963,無黨籍及未經政黨推薦,23248,49.34,Y,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,金門縣,06,洪志,M,1968,無黨籍及未經政黨推薦,752,1.6,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,連江縣,01,李問,M,1989,民主進步黨,586,6.89,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,連江縣,02,曹爾元,M,1958,中國國民黨,3582,42.12,N,N,,,
2022,第 19 屆 縣(市)長選舉,縣(市)長選舉,19,2022-11-26,連江縣,03,王忠銘,M,1958,中國國民黨,4337,50.99,Y,N,,,
